images,labels
ISIC_1561091,17
ISIC_8059246,17
ISIC_0031725,19
ISIC_9632665,19
ISIC_6502491,17
ISIC_0070266,8
ISIC_0003772,19
ISIC_0064742,15
ISIC_7127269,17
ISIC_9776245,17
ISIC_0066507,2
ISIC_0032203,25
ISIC_0002617,19
ISIC_0924724,17
ISIC_0024676,21
ISIC_0070173,19
ISIC_0692285,17
ISIC_8335398,17
ISIC_0028896,19
ISIC_5503634,19
ISIC_0070778,15
ISIC_0006173,19
ISIC_3125318,17
ISIC_7595416,17
ISIC_7838524,17
ISIC_4690030,19
ISIC_0072691,15
ISIC_0062261,25
ISIC_3683530,19
ISIC_0066051,8
ISIC_0029316,15
ISIC_0060887,19
ISIC_9407781,17
ISIC_0004627,19
ISIC_0004349,19
ISIC_0005287,19
ISIC_0061287,23
ISIC_0053543,8
ISIC_0005421,19
ISIC_0005014,19
ISIC_0027544,8
ISIC_0008503,19
ISIC_8620514,19
ISIC_9896815,19
ISIC_2339423,17
ISIC_8503961,17
ISIC_7717907,17
ISIC_0013334,15
ISIC_1192917,17
ISIC_0066540,8
ISIC_0065075,8
ISIC_9650427,17
ISIC_0052212,19
ISIC_0008187,19
ISIC_3360180,17
ISIC_5407191,19
ISIC_0551708,17
ISIC_0027428,21
ISIC_0014835,19
ISIC_0032987,15
ISIC_8173405,17
ISIC_0690264,17
ISIC_0070718,8
ISIC_0010011,15
ISIC_5204992,17
ISIC_0153589,17
ISIC_5623844,17
ISIC_9905269,17
ISIC_0945332,17
ISIC_0003990,19
ISIC_9531527,17
ISIC_6285376,19
ISIC_0054671,15
ISIC_0030028,19
ISIC_0062742,2
ISIC_6100177,19
ISIC_0004862,19
ISIC_6588370,17
ISIC_0004650,19
ISIC_5924192,17
ISIC_0057786,19
ISIC_0024332,8
ISIC_0024947,21
ISIC_0031175,8
ISIC_0032542,19
ISIC_8486206,17
ISIC_3698568,23
ISIC_0031990,19
ISIC_0057513,19
ISIC_0013594,15
ISIC_0027365,8
ISIC_8397698,17
ISIC_0523771,17
ISIC_7981097,17
ISIC_7801289,19
ISIC_8852089,19
ISIC_7936961,17
ISIC_6028622,19
ISIC_0696150,17
ISIC_8591681,17
ISIC_0031936,19
ISIC_0029261,19
ISIC_2547007,17
ISIC_0001820,19
ISIC_8518406,17
ISIC_0034103,21
ISIC_4768702,17
ISIC_0032651,19
ISIC_0064676,15
ISIC_4350093,19
ISIC_3323904,17
ISIC_0030109,19
ISIC_0203233,17
ISIC_0054779,23
ISIC_6316870,17
ISIC_0062682,8
ISIC_0828069,17
ISIC_0024653,19
ISIC_0046712,15
ISIC_0057837,15
ISIC_0006643,19
ISIC_0009254,19
ISIC_6731372,19
ISIC_7204247,17
ISIC_7270945,19
ISIC_0026855,8
ISIC_5651765,25
ISIC_0033188,19
ISIC_0072282,19
ISIC_7334875,17
ISIC_1113265,17
ISIC_0720105,17
ISIC_0004369,19
ISIC_4489593,17
ISIC_8821107,17
ISIC_5199497,17
ISIC_0012940,19
ISIC_0055908,2
ISIC_8926826,17
ISIC_0027131,19
ISIC_4624536,17
ISIC_4275338,17
ISIC_0007214,19
ISIC_0029566,19
ISIC_1257540,17
ISIC_0008908,19
ISIC_6335490,17
ISIC_8355446,15
ISIC_0013124,19
ISIC_6930828,19
ISIC_6612188,17
ISIC_3595918,17
ISIC_0460608,17
ISIC_8867894,19
ISIC_9938274,17
ISIC_7389276,17
ISIC_0003821,19
ISIC_0499977,17
ISIC_0015207,19
ISIC_0063807,23
ISIC_0206079,17
ISIC_1456390,17
ISIC_0057642,8
ISIC_7886188,19
ISIC_0071316,15
ISIC_6696715,19
ISIC_4526991,17
ISIC_6270513,17
ISIC_0005991,19
ISIC_0061292,19
ISIC_1412620,19
ISIC_0027218,21
ISIC_0302441,17
ISIC_2153159,19
ISIC_0067723,19
ISIC_0008617,19
ISIC_8141769,11
ISIC_5084796,17
ISIC_0064376,15
ISIC_0958328,19
ISIC_9927221,17
ISIC_6544410,17
ISIC_0063369,15
ISIC_0056922,15
ISIC_9271848,19
ISIC_1960472,19
ISIC_6381999,17
ISIC_0055860,19
ISIC_7852890,17
ISIC_7607909,17
ISIC_6248008,15
ISIC_5369680,19
ISIC_0012271,19
ISIC_0025063,21
ISIC_5492174,17
ISIC_0026170,19
ISIC_1260515,19
ISIC_8107990,17
ISIC_0053725,15
ISIC_6535502,17
ISIC_0054570,15
ISIC_0032334,19
ISIC_4543944,17
ISIC_0033748,19
ISIC_0006320,19
ISIC_0034052,15
ISIC_0055732,2
ISIC_0054065,8
ISIC_0058186,19
ISIC_0069715,8
ISIC_7665526,17
ISIC_0070958,8
ISIC_6452498,17
ISIC_3795397,19
ISIC_7323300,17
ISIC_5892680,17
ISIC_0001681,19
ISIC_9147750,17
ISIC_5003751,17
ISIC_0057089,15
ISIC_4343836,17
ISIC_9684649,17
ISIC_0059543,19
ISIC_0032598,15
ISIC_5583159,17
ISIC_6145261,17
ISIC_5564757,17
ISIC_0068508,19
ISIC_0061205,8
ISIC_0007920,19
ISIC_0057237,8
ISIC_0009431,19
ISIC_0024404,19
ISIC_8316885,17
ISIC_8998299,17
ISIC_0574925,17
ISIC_0033457,19
ISIC_3753216,19
ISIC_3999961,17
ISIC_0031036,19
ISIC_0026426,19
ISIC_0067051,8
ISIC_9648013,17
ISIC_0028800,19
ISIC_0054514,19
ISIC_3811339,19
ISIC_3829240,17
ISIC_0002443,19
ISIC_2876963,17
ISIC_0027837,19
ISIC_0002762,19
ISIC_0835067,17
ISIC_9422298,17
ISIC_9090761,19
ISIC_0056189,8
ISIC_0030100,19
ISIC_0032294,19
ISIC_4248187,17
ISIC_0003901,19
ISIC_9988492,17
ISIC_5557548,17
ISIC_0069414,19
ISIC_6123082,17
ISIC_4527227,17
ISIC_0070673,8
ISIC_5293624,19
ISIC_0000903,19
ISIC_0014349,15
ISIC_0032264,19
ISIC_0070883,8
ISIC_0338752,17
ISIC_0025738,19
ISIC_5930509,17
ISIC_7687848,17
ISIC_0007661,19
ISIC_0295507,17
ISIC_0062320,19
ISIC_3372750,15
ISIC_2817548,17
ISIC_8657381,17
ISIC_4231051,17
ISIC_6150484,19
ISIC_9193770,17
ISIC_2094064,17
ISIC_0234146,17
ISIC_9622948,17
ISIC_7113522,17
ISIC_0062156,25
ISIC_0011206,12
ISIC_0006048,19
ISIC_0005587,19
ISIC_0003092,19
ISIC_7450159,19
ISIC_2490282,17
ISIC_0069588,23
ISIC_1765453,17
ISIC_6547083,17
ISIC_5003391,17
ISIC_0013063,23
ISIC_7352124,17
ISIC_0033534,15
ISIC_2786246,17
ISIC_0004469,19
ISIC_0008496,19
ISIC_0011986,17
ISIC_5757319,17
ISIC_4770073,17
ISIC_6835115,17
ISIC_3900977,6
ISIC_0062162,15
ISIC_7001584,17
ISIC_7173639,17
ISIC_8082012,17
ISIC_3215136,17
ISIC_8022429,17
ISIC_6452564,19
ISIC_5927617,17
ISIC_8146574,17
ISIC_7575644,23
ISIC_0007765,19
ISIC_4238950,17
ISIC_1949257,17
ISIC_3573742,17
ISIC_0071090,23
ISIC_0010230,17
ISIC_4100970,19
ISIC_0029043,25
ISIC_6358752,17
ISIC_5723062,17
ISIC_4375862,17
ISIC_0704618,17
ISIC_0002025,19
ISIC_0057707,15
ISIC_3220423,17
ISIC_0071329,24
ISIC_0064125,19
ISIC_5197473,17
ISIC_5913155,17
ISIC_0032469,19
ISIC_4877995,17
ISIC_0956720,17
ISIC_0001660,19
ISIC_0071169,15
ISIC_0696027,17
ISIC_6486815,17
ISIC_0592068,17
ISIC_0072777,19
ISIC_0014589,23
ISIC_0536454,17
ISIC_5958466,17
ISIC_0026212,2
ISIC_1320957,17
ISIC_7641956,17
ISIC_0003030,19
ISIC_1371195,17
ISIC_0061253,15
ISIC_0032825,19
ISIC_0032431,19
ISIC_0840255,19
ISIC_0029304,19
ISIC_6352174,17
ISIC_7842567,17
ISIC_0028096,19
ISIC_0068684,19
ISIC_0054951,11
ISIC_0031916,19
ISIC_6794479,2
ISIC_0026311,21
ISIC_0069969,19
ISIC_0007326,19
ISIC_0033892,19
ISIC_9116593,17
ISIC_6552884,17
ISIC_0066841,8
ISIC_0013639,15
ISIC_0031122,8
ISIC_0029337,8
ISIC_6961927,17
ISIC_6782271,17
ISIC_9470671,17
ISIC_0061054,8
ISIC_0068533,23
ISIC_0009916,15
ISIC_0002994,19
ISIC_3947143,19
ISIC_0054364,15
ISIC_4345000,17
ISIC_0953133,17
ISIC_0073112,11
ISIC_0011289,15
ISIC_2410265,17
ISIC_0066002,11
ISIC_0012011,17
ISIC_9081595,17
ISIC_0064658,19
ISIC_0001655,19
ISIC_0001214,19
ISIC_5052760,17
ISIC_6069774,17
ISIC_0069798,19
ISIC_0002869,19
ISIC_2294843,19
ISIC_7210296,17
ISIC_0030973,19
ISIC_0006626,19
ISIC_0034155,8
ISIC_0027922,19
ISIC_0655635,17
ISIC_3003666,17
ISIC_6619276,17
ISIC_4751349,17
ISIC_0070086,8
ISIC_0008996,19
ISIC_0060857,23
ISIC_9753368,17
ISIC_9485600,24
ISIC_0008066,19
ISIC_0027183,19
ISIC_1147965,17
ISIC_0061152,15
ISIC_7456030,17
ISIC_0063479,8
ISIC_7876793,17
ISIC_0007232,19
ISIC_0639162,17
ISIC_0002365,19
ISIC_8024647,17
ISIC_0029211,19
ISIC_0420777,17
ISIC_9825516,17
ISIC_0000178,19
ISIC_0003653,19
ISIC_3352529,17
ISIC_0011119,19
ISIC_4000087,17
ISIC_7883540,17
ISIC_0027090,8
ISIC_9711851,17
ISIC_8496052,15
ISIC_0024674,19
ISIC_0010156,15
ISIC_8471137,17
ISIC_0012245,23
ISIC_0046351,19
ISIC_9453392,17
ISIC_7155873,17
ISIC_5597530,19
ISIC_0055728,8
ISIC_7808204,17
ISIC_5740023,17
ISIC_0028008,19
ISIC_5006135,17
ISIC_0031274,19
ISIC_0612374,19
ISIC_0026919,19
ISIC_0457030,17
ISIC_0013409,23
ISIC_3868858,17
ISIC_2369713,17
ISIC_7065361,17
ISIC_0024278,8
ISIC_8758963,17
ISIC_3598244,17
ISIC_0027292,19
ISIC_0011714,17
ISIC_0006366,19
ISIC_7596866,17
ISIC_0028555,21
ISIC_0587266,19
ISIC_2449313,17
ISIC_6644699,19
ISIC_4454485,17
ISIC_9669177,17
ISIC_9354965,17
ISIC_9103551,17
ISIC_0070068,15
ISIC_6144716,17
ISIC_5573695,23
ISIC_0622084,17
ISIC_0031392,19
ISIC_0715086,17
ISIC_0003218,19
ISIC_3262904,19
ISIC_0055401,8
ISIC_0006483,19
ISIC_5632017,17
ISIC_4122442,17
ISIC_1888761,17
ISIC_0001861,19
ISIC_2031794,17
ISIC_1296490,17
ISIC_7364280,19
ISIC_5049137,17
ISIC_0058426,15
ISIC_1396767,17
ISIC_0325416,17
ISIC_0753765,17
ISIC_8053586,17
ISIC_0071920,8
ISIC_6223183,17
ISIC_5077664,19
ISIC_9595835,17
ISIC_0065830,8
ISIC_0056005,2
ISIC_9320310,17
ISIC_0006304,19
ISIC_0065202,19
ISIC_2479388,17
ISIC_7633204,19
ISIC_0010274,19
ISIC_0070973,15
ISIC_0391694,17
ISIC_0004999,19
ISIC_0007222,19
ISIC_3136432,19
ISIC_4550251,17
ISIC_1493235,17
ISIC_0300915,17
ISIC_0069475,15
ISIC_0067584,23
ISIC_2499559,17
ISIC_0057427,8
ISIC_0005516,19
ISIC_0007413,19
ISIC_0025157,21
ISIC_0013480,19
ISIC_4603987,17
ISIC_0954522,17
ISIC_5031380,17
ISIC_9603637,17
ISIC_2747650,17
ISIC_0025699,21
ISIC_0013430,19
ISIC_0054509,19
ISIC_0054575,8
ISIC_0059882,8
ISIC_0011983,5
ISIC_1656510,19
ISIC_0030692,19
ISIC_0055349,8
ISIC_0430904,19
ISIC_0031847,19
ISIC_5169849,17
ISIC_6258246,17
ISIC_0000714,19
ISIC_0399051,17
ISIC_0033586,15
ISIC_0062408,2
ISIC_8416554,17
ISIC_0011285,15
ISIC_0289271,24
ISIC_0067394,2
ISIC_2641186,19
ISIC_7987416,19
ISIC_0001395,19
ISIC_3622379,19
ISIC_7179363,17
ISIC_0027530,19
ISIC_0010849,19
ISIC_9567812,17
ISIC_0031918,25
ISIC_4139442,17
ISIC_0058974,24
ISIC_0025580,19
ISIC_0056179,24
ISIC_6711611,19
ISIC_5667469,17
ISIC_2313001,19
ISIC_6019322,17
ISIC_7652087,17
ISIC_5675123,17
ISIC_0067300,19
ISIC_0010577,24
ISIC_4507700,19
ISIC_0002937,19
ISIC_5135858,17
ISIC_5354202,17
ISIC_9790808,17
ISIC_0056301,19
ISIC_5781908,19
ISIC_0509406,19
ISIC_0063033,8
ISIC_6507792,17
ISIC_3293686,17
ISIC_0054629,15
ISIC_8796632,17
ISIC_0003579,19
ISIC_0063986,19
ISIC_0030657,19
ISIC_8096177,17
ISIC_7338201,19
ISIC_8973325,17
ISIC_2921537,19
ISIC_2532039,17
ISIC_0064832,8
ISIC_0055880,19
ISIC_2974884,17
ISIC_7785457,14
ISIC_5867703,17
ISIC_0057482,15
ISIC_6087652,17
ISIC_0002165,19
ISIC_0058858,15
ISIC_7054053,17
ISIC_0002592,19
ISIC_2848654,17
ISIC_0026258,15
ISIC_0058658,15
ISIC_0014571,23
ISIC_0001311,19
ISIC_3771248,19
ISIC_0028026,15
ISIC_4684714,19
ISIC_0003251,19
ISIC_6132725,17
ISIC_0056938,15
ISIC_0058806,8
ISIC_8825295,17
ISIC_4064883,19
ISIC_0014644,23
ISIC_0000052,19
ISIC_0000987,19
ISIC_5333238,17
ISIC_0009399,19
ISIC_0000505,19
ISIC_2470290,17
ISIC_0006039,19
ISIC_0067663,25
ISIC_6918995,17
ISIC_3945916,17
ISIC_0490714,17
ISIC_0059727,8
ISIC_0072505,8
ISIC_0026888,19
ISIC_4649465,17
ISIC_0031688,19
ISIC_0029682,21
ISIC_0069305,19
ISIC_0055891,8
ISIC_0033854,21
ISIC_0060471,19
ISIC_2468975,17
ISIC_7895545,19
ISIC_0005921,19
ISIC_0012523,19
ISIC_0059382,15
ISIC_3437036,17
ISIC_6854940,17
ISIC_0066913,2
ISIC_4786942,17
ISIC_0028085,8
ISIC_0028636,19
ISIC_0025800,15
ISIC_0070858,25
ISIC_0337921,17
ISIC_0063059,8
ISIC_0072747,15
ISIC_8846695,17
ISIC_0059546,8
ISIC_0066754,19
ISIC_0009231,19
ISIC_7272509,17
ISIC_0060565,23
ISIC_4141315,19
ISIC_0026287,19
ISIC_0031609,2
ISIC_0004804,19
ISIC_0010530,19
ISIC_0026759,19
ISIC_0054120,8
ISIC_7454116,17
ISIC_1461419,17
ISIC_0069469,11
ISIC_4581042,17
ISIC_0028048,19
ISIC_6819137,17
ISIC_0011725,20
ISIC_7343798,17
ISIC_6634985,17
ISIC_0000306,15
ISIC_7668345,17
ISIC_0010381,19
ISIC_9184385,17
ISIC_7785723,15
ISIC_0029817,19
ISIC_0005933,19
ISIC_2326984,17
ISIC_3317424,17
ISIC_0002037,19
ISIC_4389370,17
ISIC_9986333,17
ISIC_0007115,19
ISIC_4371913,17
ISIC_0054349,23
ISIC_6938682,17
ISIC_0014724,19
ISIC_2575536,17
ISIC_3481732,17
ISIC_0063036,8
ISIC_6236556,19
ISIC_0015988,19
ISIC_5316258,17
ISIC_7306131,17
ISIC_0002481,19
ISIC_3448546,17
ISIC_0007773,19
ISIC_0055064,25
ISIC_0010790,15
ISIC_0062970,15
ISIC_1854161,17
ISIC_9627932,17
ISIC_0011106,19
ISIC_1005597,17
ISIC_9101501,17
ISIC_0006266,19
ISIC_0002868,19
ISIC_2279449,17
ISIC_0058380,15
ISIC_0004262,19
ISIC_0012395,15
ISIC_0010793,19
ISIC_0025992,2
ISIC_8637235,17
ISIC_9037301,17
ISIC_2161202,17
ISIC_0060525,15
ISIC_8617532,17
ISIC_0057185,19
ISIC_7508527,19
ISIC_0025160,19
ISIC_0516337,17
ISIC_7105686,17
ISIC_0439040,17
ISIC_9271800,19
ISIC_0065742,15
ISIC_0008544,19
ISIC_6580386,17
ISIC_4506356,17
ISIC_2993517,17
ISIC_3162213,15
ISIC_9826778,17
ISIC_0001657,19
ISIC_0004477,19
ISIC_6065301,17
ISIC_0007079,19
ISIC_0028734,19
ISIC_1934283,17
ISIC_0004310,19
ISIC_0796345,17
ISIC_3351401,17
ISIC_2922381,19
ISIC_8236943,19
ISIC_0011556,17
ISIC_0068952,23
ISIC_0009091,19
ISIC_0032167,19
ISIC_9210825,17
ISIC_0062485,19
ISIC_2075655,17
ISIC_4756167,17
ISIC_0070815,15
ISIC_6753485,17
ISIC_3744835,17
ISIC_0071153,19
ISIC_0031050,21
ISIC_9748173,17
ISIC_5984698,17
ISIC_0031434,19
ISIC_5742413,17
ISIC_0059917,8
ISIC_0711803,19
ISIC_0008681,19
ISIC_8680204,17
ISIC_0064498,15
ISIC_2419448,19
ISIC_0059912,8
ISIC_0004082,19
ISIC_8730617,17
ISIC_0819380,17
ISIC_0025581,19
ISIC_0009378,19
ISIC_0006326,19
ISIC_0026969,19
ISIC_0442749,17
ISIC_0007322,19
ISIC_4309183,17
ISIC_0008336,19
ISIC_0006878,19
ISIC_0060654,15
ISIC_0068111,19
ISIC_0010630,15
ISIC_4114060,17
ISIC_7342658,17
ISIC_1225511,19
ISIC_0063888,23
ISIC_1832110,17
ISIC_0726626,17
ISIC_8357114,17
ISIC_0056444,19
ISIC_0028436,19
ISIC_4407617,17
ISIC_0003013,19
ISIC_0030445,15
ISIC_5997802,17
ISIC_8438639,19
ISIC_0029153,19
ISIC_7696732,17
ISIC_1304105,17
ISIC_0065151,8
ISIC_8475681,17
ISIC_9398989,17
ISIC_2008958,17
ISIC_3301263,17
ISIC_4903186,17
ISIC_0029597,19
ISIC_0015189,15
ISIC_0025799,21
ISIC_0001986,19
ISIC_6474901,17
ISIC_0030826,2
ISIC_0005500,19
ISIC_9379816,17
ISIC_0032654,21
ISIC_0007364,19
ISIC_0064660,15
ISIC_6117024,19
ISIC_4482569,17
ISIC_4459001,17
ISIC_0060875,23
ISIC_8348490,17
ISIC_2468572,17
ISIC_0008240,19
ISIC_1606970,17
ISIC_0010909,15
ISIC_0053699,15
ISIC_3638162,17
ISIC_0028349,19
ISIC_1899936,17
ISIC_4192307,17
ISIC_2729747,19
ISIC_0069129,23
ISIC_7352489,17
ISIC_0001880,19
ISIC_1361355,17
ISIC_0057471,8
ISIC_0058364,19
ISIC_0072579,19
ISIC_0030103,19
ISIC_7160845,17
ISIC_0030983,19
ISIC_9856243,17
ISIC_5396321,17
ISIC_7001063,19
ISIC_7069404,17
ISIC_7697051,17
ISIC_1850122,17
ISIC_6336781,19
ISIC_0010441,15
ISIC_3300386,17
ISIC_8035608,17
ISIC_0054209,2
ISIC_0380622,19
ISIC_0008553,19
ISIC_2112683,17
ISIC_3269408,17
ISIC_0032236,19
ISIC_6290709,17
ISIC_6892561,17
ISIC_0067040,19
ISIC_5647554,19
ISIC_0031862,19
ISIC_1559267,17
ISIC_0033002,19
ISIC_4307205,17
ISIC_0011697,15
ISIC_8262345,17
ISIC_0008183,19
ISIC_0063109,15
ISIC_3421679,17
ISIC_8188060,17
ISIC_0536439,12
ISIC_3299783,17
ISIC_2757619,17
ISIC_0031886,19
ISIC_0071223,8
ISIC_0001844,19
ISIC_0032846,19
ISIC_0063475,15
ISIC_0071114,8
ISIC_7418664,19
ISIC_1222905,19
ISIC_1111173,17
ISIC_0063956,2
ISIC_1554893,17
ISIC_0003431,19
ISIC_6892485,17
ISIC_0012757,23
ISIC_6700433,17
ISIC_0361529,19
ISIC_0027123,19
ISIC_0027911,19
ISIC_9772863,24
ISIC_4686317,19
ISIC_2182856,15
ISIC_0031837,19
ISIC_0026219,21
ISIC_0342587,17
ISIC_0025987,15
ISIC_5381033,17
ISIC_9489038,17
ISIC_0012744,19
ISIC_0293416,17
ISIC_8725878,17
ISIC_3152572,17
ISIC_0025211,19
ISIC_0003157,19
ISIC_0027756,19
ISIC_0001679,19
ISIC_9913667,17
ISIC_0065505,19
ISIC_3537191,19
ISIC_7980532,17
ISIC_0066945,23
ISIC_0069304,23
ISIC_0011097,19
ISIC_8291021,17
ISIC_0055454,15
ISIC_0005304,19
ISIC_1834367,17
ISIC_0027750,19
ISIC_8984390,17
ISIC_3652583,17
ISIC_0028860,15
ISIC_4386659,17
ISIC_4435370,17
ISIC_0003295,19
ISIC_0072590,8
ISIC_0014797,19
ISIC_4766046,17
ISIC_6378169,17
ISIC_0001903,19
ISIC_8879370,20
ISIC_0063005,19
ISIC_0010472,19
ISIC_0001218,19
ISIC_0029874,19
ISIC_4129493,17
ISIC_3112262,17
ISIC_0004505,19
ISIC_0053540,19
ISIC_5873539,17
ISIC_5157799,17
ISIC_4140193,17
ISIC_0004424,19
ISIC_3590482,19
ISIC_3060567,17
ISIC_0010697,12
ISIC_0053577,19
ISIC_0009167,19
ISIC_0026963,15
ISIC_8679397,17
ISIC_0058544,15
ISIC_7336190,17
ISIC_9422630,17
ISIC_0066647,19
ISIC_8190603,17
ISIC_9959011,17
ISIC_1480119,17
ISIC_3019041,17
ISIC_2861793,17
ISIC_0025587,19
ISIC_5091996,15
ISIC_8978466,17
ISIC_4607215,17
ISIC_0324472,19
ISIC_9657963,17
ISIC_3236399,17
ISIC_0005025,19
ISIC_0029397,15
ISIC_0056736,19
ISIC_0015220,23
ISIC_0029574,15
ISIC_8796968,19
ISIC_0413173,17
ISIC_5284504,17
ISIC_0058240,8
ISIC_9749362,17
ISIC_0071687,19
ISIC_8872225,19
ISIC_8423078,24
ISIC_0003870,19
ISIC_0004050,19
ISIC_0070043,19
ISIC_8507809,17
ISIC_0025672,19
ISIC_0013588,15
ISIC_2799447,17
ISIC_1510160,19
ISIC_0800069,17
ISIC_0015216,19
ISIC_0206325,17
ISIC_0071261,19
ISIC_0064604,19
ISIC_7149122,17
ISIC_0027293,19
ISIC_0029530,19
ISIC_6278273,15
ISIC_0064768,19
ISIC_0004087,19
ISIC_0025174,19
ISIC_0009503,19
ISIC_0003498,19
ISIC_5036393,17
ISIC_0072345,8
ISIC_0006289,19
ISIC_6494965,17
ISIC_0005244,19
ISIC_8127242,17
ISIC_0057734,15
ISIC_0003835,19
ISIC_0025084,19
ISIC_0027751,19
ISIC_3504715,17
ISIC_8561963,17
ISIC_0000738,19
ISIC_0003869,19
ISIC_5623579,17
ISIC_0030121,19
ISIC_8846215,17
ISIC_6081540,19
ISIC_4016721,17
ISIC_3335794,17
ISIC_0004174,19
ISIC_0026352,15
ISIC_3654454,17
ISIC_0270101,17
ISIC_8514989,17
ISIC_4474341,17
ISIC_0000010,19
ISIC_0060933,24
ISIC_0028262,19
ISIC_8215842,19
ISIC_4959114,17
ISIC_0057770,25
ISIC_0010988,19
ISIC_5790534,17
ISIC_7592174,17
ISIC_4382115,17
ISIC_0006045,19
ISIC_0058321,15
ISIC_9631113,19
ISIC_0008789,19
ISIC_2684374,17
ISIC_8712906,17
ISIC_0066109,15
ISIC_3031102,17
ISIC_1076091,17
ISIC_0028969,15
ISIC_0008283,19
ISIC_0032090,19
ISIC_0008849,19
ISIC_0002164,19
ISIC_6441985,17
ISIC_9636881,19
ISIC_6207688,17
ISIC_0438234,17
ISIC_0032247,11
ISIC_0025713,19
ISIC_0069454,23
ISIC_0031930,19
ISIC_5618239,17
ISIC_0030635,19
ISIC_7825615,17
ISIC_0025164,19
ISIC_4695963,17
ISIC_0057254,19
ISIC_2601114,19
ISIC_0007589,19
ISIC_0025040,21
ISIC_0008433,19
ISIC_0002447,19
ISIC_9323095,17
ISIC_0027385,26
ISIC_0015293,19
ISIC_0007858,19
ISIC_0055169,15
ISIC_7056131,17
ISIC_0003421,19
ISIC_5092424,17
ISIC_0026165,19
ISIC_1541348,17
ISIC_0009567,19
ISIC_7685852,17
ISIC_9500007,17
ISIC_0024352,19
ISIC_0024383,21
ISIC_0000477,19
ISIC_4942265,19
ISIC_2785296,17
ISIC_5986798,17
ISIC_0032198,19
ISIC_0029434,15
ISIC_8853902,17
ISIC_0001109,19
ISIC_0003709,19
ISIC_0025791,15
ISIC_2450853,17
ISIC_6672519,17
ISIC_1806761,17
ISIC_9290617,19
ISIC_0015041,15
ISIC_0743540,19
ISIC_8701206,19
ISIC_0033889,19
ISIC_0007107,19
ISIC_0009773,19
ISIC_9037499,17
ISIC_0068800,15
ISIC_5821131,17
ISIC_0014805,19
ISIC_9503058,19
ISIC_0064304,19
ISIC_5894728,17
ISIC_8574064,17
ISIC_2304753,17
ISIC_0068570,8
ISIC_0010371,19
ISIC_0027103,19
ISIC_4849252,17
ISIC_0033130,21
ISIC_0027191,19
ISIC_0033376,19
ISIC_0065977,19
ISIC_2741998,17
ISIC_3681098,17
ISIC_5370803,19
ISIC_0070573,8
ISIC_0059608,15
ISIC_0029476,19
ISIC_0004737,19
